Username;Rank;Title;Artist;Genre;Genre;Album;Number of Plays
EzI6psdcyE;8;The World We Knew (Over and Over);Frank Sinatra;Jazz;JAZZ;The World We Knew;200
ewMPQm7LCw;1;You're the Inspiration;Chicago;Rock;ROCK;Chicago 17;50
RDXRSUA19I;10;See You Again;Tyler the Creator Ft Kali Uchis;Hip Hop;HIP HOP;Flower Boy;109
6ue4Mbvoft;10;m.A.D.D city;Kendrick Lamar, MC Eiht;Hip Hop;HIP HOP;Good Kid, M.A.D.D City;500
RDXRSUA19I;9;She;Tyler the creator ;Hip Hop;HIP HOP;Goblin;106
EzI6psdcyE;3;Feel Good Inc.;Gorillaz, De La Soul;Rock;ROCK;Demon Days;150
ewMPQm7LCw;2;Carry on Wayward Son;Kansas;Rock;ROCK;Leftoverture;40
RDXRSUA19I;8;Pink + White;Frank Ocean;Pop;POP;Blonde;71
EzI6psdcyE;2;On Melancholy Hill;Gorillaz;Pop;POP;Plastic Beach;400
8AxIDcHePL;1;Poke the GOAT;Gideon;pop;POP;n/a;100
6ue4Mbvoft;9;Fall in Line;Yung Rare, Kxng;Hip Hop;HIP HOP;Fall in Line;700
RDXRSUA19I;7;Above the Chinese Restaurant ;Laufey;Alternative;ALTERNATIVE;Everything I know about love;80
6ue4Mbvoft;8;Moshi Moshi;Yung Rare, Pyrxciter, Young zetton;Hip Hop;HIP HOP;Moshi Moshi;600
EzI6psdcyE;9;Alien Blues;Vundabar;Rock;ROCK;Gawk;100
RDXRSUA19I;6;Circles;Pierce the Veil;Rock;ROCK;Misadventures;80
ewMPQm7LCw;4;Piano Man;Billy Joel;Rock;ROCK;Piano Man;50
EzI6psdcyE;1;Unsainted;Slipknot;Metal;METAL;We Are Not Your Kind;500
RDXRSUA19I;5;Bulls in the Bronx;Pierce the Veil;Rock;ROCK;Collide With the Sky;80
sIpTXaxH0i;2;Ghost Town;Kanye West;R&B;R&B;YE;300
EzI6psdcyE;4;Nero Forte;Slipknot;Metal;METAL;We Are Not Your Kind;300
6ue4Mbvoft;7;I duckinf hatw you;Ghostemane, Parv0;Metal;METAL;the EP;600
ewMPQm7LCw;5;The Longest Time;Billy Joel;Rock;ROCK;An Innocent Man;60
RDXRSUA19I;5;Decode;Paramore;Alternative;ALTERNATIVE;Twilight motion Picture Sound track (Paramore);60
6ue4Mbvoft;6;My Axe;Insane Clown Posse;Miscellaneous;MISCELLANEOUS;Jugganauts;600
EzI6psdcyE;5;Die With A Smile;Bruno Mars, Lady Gaga;Rock;ROCK;Die With A Smile (It was a single);6
RDXRSUA19I;4;Lover, You Should've Come Over;Jeff Buckley ;Rock;ROCK;Grace;100
TEHqbHLFqx;1;Glorious;Macklemore;Pop;POP;Single;300
6ue4Mbvoft;5;Fallout 76: Ring of Fire;Copilot Music + Sound, Spank;Country;COUNTRY;Fallout 76;600
RDXRSUA19I;3;Bewitched;Laufey;Jazz;JAZZ;Bewitched;80
EzI6psdcyE;7;Emerald Star;Lord Huron;Indie;INDIE;Vide Noir;400
6ue4Mbvoft;4;Till I Collapse;Eminem, Nate Dogg;Hip Hop;HIP HOP;The Eminem Show;700
TEHqbHLFqx;2;God Needs The Devil;Jonah Kagen;Country;COUNTRY;Black Dress;270
EzI6psdcyE;10;The Night We Met;Lord Huron;Indie;INDIE;Strange Trails;350
RDXRSUA19I;2;If I Ever Fall In Love again;Shai;Alternative;ALTERNATIVE;If I Ever Fall In Love Again;40
6ue4Mbvoft;3;Clint Eastwood;Gorillaz, Del The Funky Homosapien;Rock;ROCK;Gorillaz;700
8AxIDcHePL;2;I Turned 3rd life into a song ;Evil Anvil;pop;POP;n/a;50
TEHqbHLFqx;3;Breathe;Olly Alexander;Alternative;ALTERNATIVE;Communion;200
ewMPQm7LCw;6;Bohemian Rhapsody;Queen;Rock;ROCK;A Night at the Opera;85
RDXRSUA19I;1;Hush;The Marías;Alternative;ALTERNATIVE;CINEMA;30
6ue4Mbvoft;2;Give and Take;Poor Man's Poison;Country;COUNTRY;In the End;800
EzI6psdcyE;6;Just The Way You Are;Bruno Mars;Pop;POP;Doo-Wops and Hooligans;200
TEHqbHLFqx;4;Figure You Out;VOILA;Alternative;ALTERNATIVE;Single;150
ewMPQm7LCw;7;Don't Stop Believin';Journey;Rock;ROCK;Escape;80
sIpTXaxH0i;3;NHH;Kanye West;Hip Hop;HIP HOP;NHH;150
ewMPQm7LCw;8;Hey There Delilah;Plain White T's;Pop;POP;All That We Needed;60
TEHqbHLFqx;5;Can't Hold Us;Macklemore;Pop;POP;The Heist;250
6ue4Mbvoft;1;UGA UGA BAM BAM;The Butcher Sisters;Metal;METAL;UGA UGA BAM BAM;800
